Food,Category,Popularity,Bryan Johnson,David Sinclair,Huberman,Mediterranean Diet,Keto Diet,MIND diet,Paleo Diet,Vegan Diet,Atkins Diet,Gluten-Free Diet,Vegetarian Diet,Flexitarian Diet,Autoimmune Protocol Diet,Longevity,Brain health (MIND),Alzheimer prevention,Muscle building,Overal/Average,Blue Zone Diet,Low Glycemic / Insulin Impact,Contaminant / Toxicity Risk,Comments
Almond Milk,Other,,8,8,8,8,10,8,10,10,10,10,10,10,10,8,8,8,5,9.0,5,5,5,Consume in moderation
Almonds,Nut/Seed,,9,9,9,10,10,10,10,10,10,10,10,10,0,9,9,9,5,9.0,5,5,5,High energy; use small portions (e.g. a handful)
Apple,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,Rich in vitamins; eat generously
Asparagus,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,High fiber; eat liberally
Avocado,Fruit,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10.0,5,5,5,Rich in vitamins; eat generously
Avocado oil,Oil/Fat,,8,8,9,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.3125,5,5,5,High energy; use small portions (e.g. a handful)
Bacon,Other,,3,3,4,0,10,0,10,0,10,10,0,10,0,3,3,3,5,4.3125,5,5,5,Consume in moderation
Bagel,Other,,4,4,4,4,0,4,0,0,0,0,10,10,0,4,4,4,5,3.25,5,5,5,Consume in moderation
Baguette,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,Consume in moderation
Baked beans,Other,,6,6,6,10,0,10,0,10,0,10,10,10,0,6,6,6,5,6.0,5,5,5,Consume in moderation
Banana,Fruit,,7,7,7,10,3,10,0,10,3,10,10,10,0,7,7,7,5,6.75,5,5,5,Rich in vitamins; eat generously
Barley,Grain/Starch,,8,8,8,10,0,10,0,0,5,0,10,10,0,7,7,7,5,5.625,5,5,5,Rich in carbs; limit to one serving
Beans,Other,,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.0,5,5,5,Consume in moderation
Beef,Animal Product,,5,4,5,5,10,0,10,0,10,10,0,10,10,5,4,5,5,5.8125,5,5,5,Consume in moderation
Beetroot,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,High fiber; eat liberally
Bell pepper,Vegetable,,9,9,9,10,10,10,0,10,10,10,10,10,0,9,9,9,5,8.375,5,5,5,High fiber; eat liberally
Black Beans,Other,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,Consume in moderation
Black beans,Legume/Pulse,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,Consume in moderation
Blueberry,Fruit,,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,5,9.8125,5,5,5,Rich in vitamins; eat generously
Bread,Other,,6,6,6,10,0,10,0,0,5,0,10,10,0,6,6,6,5,5.0625,5,5,5,Consume in moderation
Bread pudding,Other,,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,5,1.5,5,5,5,Consume in moderation
Bread salad,Other,,6,6,6,6,0,6,0,0,5,0,10,10,0,6,6,6,5,4.5625,5,5,5,Consume in moderation
Breadfruit,Grain/Starch,,6,6,6,5,0,5,0,10,3,10,10,10,0,6,6,6,5,5.5625,5,5,5,Rich in carbs; limit to one serving
Broccoli,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,High fiber; eat liberally
Bruschetta,Other,,6,6,6,6,0,6,0,0,5,0,10,10,0,6,6,6,5,4.5625,5,5,5,Consume in moderation
Buckwheat,Grain/Starch,,9,9,9,10,3,10,0,10,5,10,10,10,0,9,9,9,5,7.625,5,5,5,Rich in carbs; limit to one serving
Burgers,Other,,4,4,4,5,10,0,10,0,10,0,0,10,10,4,4,4,5,4.9375,5,5,5,Consume in moderation
